OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Low-Medium_mean	Medium_mean	Trace_mean	High_mean	Trace-Low_mean	Low_mean
k__Bacteria;p__WS3	3.97471345858	0.553062327394	0.754004499017	1.0	0.0080305945752	0.00671038165235	0.00811899739175	0.0053547523427	0.0195904739191	0.015091175761
k__Bacteria;p__WPS-2	3.92416261976	0.56038562667	0.754004499017	1.0	5.38965600411e-05	8.06764208105e-05	0.00026289697577	0.0	3.9748787662e-05	5.02852861354e-05
k__Bacteria;p__Armatimonadetes	3.91253692544	0.562076081086	0.754004499017	1.0	0.00148520423303	0.00134529724942	0.00113706730972	0.0	0.00135145878051	0.00104368749257
k__Bacteria;Other	3.72927728547	0.589013158956	0.771326755776	1.0	0.0	3.88891785051e-06	8.53624339562e-07	0.0	0.0	0.0
k__Bacteria;p__FCPU426	3.50785983852	0.622198669221	0.795835507143	1.0	8.23701471471e-05	7.80034111431e-05	0.000129082890005	0.0	4.54271858994e-05	0.00010610143998
k__Bacteria;p__GOUTA4	3.28571428571	0.656029518367	0.797697419299	1.0	0.0	1.5154241767e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__OP8	3.28571428571	0.656029518367	0.797697419299	1.0	0.0	1.41418212545e-06	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota]	3.213131786	0.667165114323	0.797697419299	1.0	5.82415901956e-05	0.000101252860624	3.82659557842e-05	0.0	7.38191770865e-05	4.85619574128e-05
k__Bacteria;p__AD3	2.637108889	0.755719253418	0.88435231783	1.0	7.64070970129e-05	1.44210385434e-05	5.48891258854e-05	0.0	1.13567964749e-05	2.55635999267e-06
k__Bacteria;p__Acidobacteria	2.11960297767	0.83236045107	0.949536776196	1.0	0.166506162999	0.16346313249	0.176885260686	0.171352074967	0.20409298945	0.180626091107
k__Bacteria;p__Actinobacteria	1.92593642916	0.859295327518	0.949536776196	1.0	0.123992639597	0.129682066593	0.143742311331	0.145917001339	0.118888623897	0.119883024852
k__Bacteria;p__[Thermi]	1.60647801747	0.90046485144	0.949536776196	1.0	0.0	2.90041707998e-06	1.32919690198e-06	0.0	0.0	0.0
k__Bacteria;p__Chlamydiae	1.4415691835	0.919712618176	0.949536776196	1.0	0.00110543397594	0.000986681383144	0.00101571138548	0.00133868808568	0.00122085562105	0.000942698662472
k__Bacteria;p__WS1	1.41341417203	0.922840301759	0.949536776196	1.0	0.0	9.47140110437e-07	4.26812169781e-08	0.0	0.0	0.0
k__Bacteria;p__SR1	1.3487198817	0.929839502699	0.949536776196	1.0	0.0	6.0710843392e-06	4.6338849442e-06	0.0	0.0	4.59406813922e-06
k__Bacteria;p__Lentisphaerae	1.30769230769	0.934138159057	0.949536776196	1.0	0.0	0.0	8.53624339562e-08	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria	1.15050402544	0.949536776196	0.949536776196	1.0	0.0	1.45020853999e-06	3.04936175862e-06	0.0	0.0	7.23964865985e-06
