	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_315_1.txt	315	1	42.2483	44.21877	41.86445	39.43417	38.91518	41.66758	42.2659	39.79099	41.19132	40.69237	41.04092	42.10544	40.15661	37.38689	39.19141	42.02893	40.49628	44.39167	40.89206	42.26229	41.70508	38.15623	41.31213	42.29755	42.07033	42.05816	40.10961	39.70566	36.86701	36.56061
alpha_rarefaction_315_2.txt	315	2	43.84324	42.68283	40.79692	41.53532	39.33832	41.04922	40.75239	38.80542	42.71391	40.92718	42.26075	44.07598	41.59081	38.85589	41.90684	43.75244	37.22911	40.27102	40.99673	40.73205	42.9072	40.73633	40.89229	43.61396	43.03356	42.1973	40.01535	41.14052	39.1086	31.05787
alpha_rarefaction_315_3.txt	315	3	40.3936	44.05034	39.95685	43.32063	39.04711	39.19042	41.41368	40.49026	40.9719	42.73919	43.30601	39.65906	42.21706	36.54635	41.53692	41.13674	38.68707	44.4614	39.12416	40.62502	40.31309	38.16133	38.95571	43.35689	42.44413	41.74476	40.07963	39.6433	38.51321	34.35823
alpha_rarefaction_315_4.txt	315	4	43.36347	40.7918	39.02615	38.22976	39.43502	40.01002	40.98085	37.86709	38.79911	41.27294	39.23718	38.56204	40.2365	37.57911	38.94939	44.3392	40.79032	40.04147	40.68438	42.50947	45.19345	37.72438	41.8691	44.44787	41.15563	40.64666	38.86766	41.14043	39.36299	34.48673
alpha_rarefaction_315_5.txt	315	5	45.81174	41.99098	41.02414	38.80897	38.65987	38.39984	41.53238	38.58442	40.38201	42.3067	43.15934	41.04301	39.50858	36.85244	39.95868	42.60398	41.05644	43.25772	39.37998	37.98408	41.82284	37.18366	39.17038	40.35124	42.17082	43.1178	41.18889	39.71554	35.54566	31.42322
alpha_rarefaction_315_6.txt	315	6	41.41786	42.75559	41.71151	38.60363	37.65707	40.83855	41.86192	37.73263	38.91264	42.61076	42.09333	37.0853	42.12414	36.49753	41.09976	44.3979	35.62787	41.71773	39.09518	38.45179	44.51133	38.88744	39.43369	42.75887	40.73192	42.64192	40.86186	39.83766	38.4138	34.38226
alpha_rarefaction_315_7.txt	315	7	44.23193	42.79275	39.04642	40.86517	39.38022	41.14582	38.85387	42.10636	38.45149	41.65109	37.45766	42.08056	42.80182	39.68511	39.55873	41.59924	37.57023	43.89122	42.44298	43.30646	42.35486	39.77873	39.44417	44.23264	43.13313	44.2991	38.80375	40.56085	42.25249	34.32762
alpha_rarefaction_315_8.txt	315	8	44.6815	39.79626	40.34217	40.52718	37.87008	40.00505	42.71737	38.10989	41.70268	42.50146	40.81521	42.32992	41.05966	38.79276	38.36472	41.49282	41.84809	43.82352	40.11021	42.89568	43.28327	37.28754	38.69357	42.00504	43.86907	41.38034	41.47396	37.40167	39.46719	33.28741
alpha_rarefaction_315_9.txt	315	9	44.97893	42.02952	39.40775	41.77893	39.01889	36.31569	39.30832	38.66997	41.60428	40.44885	42.91498	38.54319	42.22387	36.1548	39.95374	39.54377	43.50211	43.34476	42.80516	41.62667	41.71707	39.40185	39.1427	41.25076	41.20936	40.23474	38.1068	39.04978	39.9376	34.56112
alpha_rarefaction_376_0.txt	376	0	49.49291	44.93247	42.17856	46.01414	44.36079	44.5822	43.66459	43.79039	45.22633	48.56405	48.23761	43.93499	48.29294	38.60091	42.55136	45.34441	41.10798	45.34401	44.81834	48.42946	43.59891	40.30208	42.16343	46.0169	47.14195	43.81349	44.46965	44.17555	40.0541	37.13308
