	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_376_3.txt	376	3	1059.22857143	733.666666667	960.636363636	774.447368421	1019.8125	865.777777778	610.12244898	680.06	844.09375	802.894736842	1168.36363636	877.583333333	987.757575758	992.538461538	874.0	956.026315789	781.676470588	710.357142857	886.454545455	709.578947368	855.651162791	854.428571429	840.294117647	1394.24137931	787.024390244	893.166666667	936.576923077	878.394736842	583.957446809	587.2
alpha_rarefaction_376_4.txt	376	4	1217.63636364	784.538461538	794.923076923	695.5	879.125	1246.28571429	667.068181818	998.5	783.833333333	829.135135135	903.567567568	767.216216216	935.65	847.137931034	577.782608696	876.775	905.441176471	774.236842105	595.9375	1002.42857143	897.166666667	853.25	843.357142857	1144.38709677	1010.66666667	855.428571429	624.0	869.777777778	946.2	646.333333333
alpha_rarefaction_376_5.txt	376	5	1539.44444444	782.0	919.617647059	812.032258065	1003.10714286	939.5	722.818181818	842.775	859.428571429	1184.10344828	950.0	690.052631579	871.763157895	958.777777778	1068.68965517	922.162162162	804.6	776.384615385	858.161290323	1402.27272727	721.818181818	785.363636364	940.25	867.071428571	930.285714286	798.552631579	960.034482759	1052.89655172	768.885714286	516.111111111
alpha_rarefaction_376_6.txt	376	6	918.625	865.871794872	864.157894737	886.972972973	958.0	1170.375	700.88372093	714.717391304	726.875	946.78125	1275.44444444	1197.53846154	954.026315789	740.4375	765.738095238	1085.55555556	1034.24137931	805.894736842	852.3125	1069.11538462	768.738095238	834.441176471	847.176470588	1201.28125	1035.42857143	958.416666667	813.692307692	997.5	815.333333333	775.206896552
alpha_rarefaction_376_7.txt	376	7	1170.93548387	894.275	673.12244898	778.783783784	665.5	894.71875	641.12244898	887.972972973	1041.0	879.216216216	1078.13793103	904.294117647	867.325	665.777777778	959.9375	1013.55263158	716.666666667	822.875	936.323529412	693.56097561	1325.55555556	687.052631579	1255.625	1161.9375	983.181818182	909.7	805.2	1110.11538462	772.885714286	765.043478261
alpha_rarefaction_376_8.txt	376	8	858.219512195	978.088235294	696.923076923	1026.85714286	830.166666667	803.636363636	577.25	979.21875	950.607142857	865.090909091	1011.66666667	1021.88888889	789.458333333	714.363636364	921.0	953.238095238	832.090909091	806.6	1281.95652174	981.0	908.405405405	984.483870968	1070.48387097	972.088235294	1160.51724138	1033.42857143	946.617647059	923.552631579	588.023255814	1005.71428571
alpha_rarefaction_376_9.txt	376	9	1028.38461538	949.617647059	650.127659574	635.020833333	875.416666667	1257.57692308	784.318181818	907.083333333	978.034482759	751.022222222	917.27027027	994.5	1157.79411765	652.216216216	1625.83333333	1059.22857143	702.583333333	763.073170732	1084.62068966	973.088235294	930.0	949.535714286	834.166666667	852.026315789	1306.09677419	1237.23076923	774.885714286	818.657894737	860.2	766.033333333
alpha_rarefaction_437_0.txt	437	0	1223.46666667	797.632653061	865.636363636	767.75	1384.88461538	1085.62162162	758.057692308	1028.14634146	874.0	948.717948718	848.117647059	848.645833333	1514.90322581	851.833333333	1096.0	1025.0	781.384615385	779.826086957	877.046511628	1303.25	908.826086957	945.363636364	914.634146341	1132.0	1199.5	1017.21621622	985.088235294	864.083333333	874.071428571	626.923076923
alpha_rarefaction_437_1.txt	437	1	1237.875	865.0	1081.41666667	808.069767442	1004.83333333	969.256410256	718.055555556	957.375	706.318181818	773.837209302	915.956521739	1052.63636364	975.75	957.103448276	1096.67567568	808.960784314	1011.19354839	1001.44186047	1150.58823529	924.692307692	1345.46428571	768.022222222	848.022222222	1322.42857143	857.0	1012.16666667	863.571428571	918.0	1117.09090909	619.076923077
alpha_rarefaction_437_2.txt	437	2	1204.55882353	871.727272727	1090.07142857	846.139534884	833.857142857	781.256410256	664.392857143	911.0	836.069767442	1442.34482759	1207.36363636	1357.78571429	1153.21621622	805.5	1069.39473684	1383.27586207	883.279069767	775.666666667	1016.24390244	1107.1	906.75	912.083333333	894.076923077	1051.15	941.903846154	915.090909091	760.489795918	1093.51219512	793.893617021	654.277777778
alpha_rarefaction_437_3.txt	437	3	1203.16216216	819.023255814	1014.39473684	780.0	949.56097561	952.538461538	609.089552239	1042.38461538	1237.17647059	879.357142857	889.571428571	1044.10810811	1182.33333333	1161.11111111	1105.8125	975.456521739	864.384615385	868.384615385	967.857142857	1273.03333333	917.790697674	851.446808511	1015.07692308	1360.90322581	967.272727273	828.738095238	711.111111111	854.568181818	958.078947368	791.363636364
alpha_rarefaction_437_4.txt	437	4	1298.575	1012.81395349	962.4	830.282608696	964.081081081	1063.22857143	662.172413793	1057.25	1003.75675676	1130.0	874.022222222	1021.16666667	834.109090909	804.428571429	913.12195122	982.25	1111.03030303	848.139534884	1517.5	1037.79411765	750.052631579	833.682926829	794.222222222	1104.68292683	1028.56521739	998.30952381	956.157894737	1018.21621622	868.428571429	692.935483871
